Id marker,3D pos x,3D pos y,3D pos z
80,-200,140,140
81,-200,140,-140
82,-200,70,140
83,-200,70,-140
84,-200,0,140
85,-200,0,-140
86,-200,-70,140
87,-200,-70,-140
88,-200,-140,140
89,-200,-140,-140
