Id marker,3D pos x,3D pos y,3D pos z
16,200,140,-140
17,200,140,-70
18,200,140,0
19,200,140,70
20,200,140,140
21,200,70,-140
22,200,70,140
23,200,0,-140
24,200,0,140
25,200,-70,-140
26,200,-70,140
27,200,-140,-140
28,200,-140,-70
29,200,-140,0
30,200,-140,70
31,200,-140,140
